cohort,model,label,n,accuracy,accuracy_ci95_low,accuracy_ci95_high,macro_f1,weighted_f1,metrics_path
Primary exact-deduplicated,binary,Binary router,10251,1.0,0.9996253867051441,0.9999999999999998,1.0,1.0,training_logs/experiments_dedup_regularized/binary/20260512_013727/test/metrics.json
Primary exact-deduplicated,tumor,Tumor specialist,1445,0.9792387543252595,0.9705168661678935,0.9854192416854425,0.9790887528139313,0.9792507270753442,training_logs/experiments_dedup_regularized/tumor/20260512_021514/test/metrics.json
Primary exact-deduplicated,dementia,Dementia specialist,8806,0.9990915285032932,0.9982082004882943,0.9995395910270491,0.9991357771694546,0.9990915285032932,training_logs/experiments_dedup_regularized/dementia/20260512_022515/test/metrics.json
Primary exact-deduplicated,hierarchical,Hierarchical CNN,10251,0.9962930445810165,0.9949162897092009,0.9972979635075433,0.9891122649916929,0.9962947322821064,training_logs/experiments_dedup_regularized/hierarchical/test_evaluation/metrics.json
Primary exact-deduplicated,eight_class,Single 8-class CNN,10251,0.9971710077065652,0.9959400274184677,0.9980294942560554,0.990524913231328,0.9971756171848888,training_logs/experiments_dedup_regularized/eight_class/20260512_025559/test/metrics.json
Conservative perceptual sensitivity,binary,Binary router,10900,1.0,0.9996476838034771,1.0,1.0,1.0,training_logs/experiments_perceptual_regularized/binary/20260513_155157/test/metrics.json
Conservative perceptual sensitivity,tumor,Tumor specialist,2019,0.9539375928677564,0.94389993036988,0.9622510999431214,0.9534675062461679,0.9530284495489538,training_logs/experiments_perceptual_regularized/tumor/20260513_162514/test/metrics.json
Conservative perceptual sensitivity,dementia,Dementia specialist,8881,0.9975228014863191,0.9962518879762878,0.9983634802931927,0.9976208412432706,0.9975219864949156,training_logs/experiments_perceptual_regularized/dementia/20260513_163515/test/metrics.json
Conservative perceptual sensitivity,hierarchical,Hierarchical CNN,10900,0.9894495412844037,0.9873515831319446,0.9912026174353121,0.9755441737447192,0.9892804772202463,training_logs/experiments_perceptual_regularized/hierarchical/test_evaluation/metrics.json
Conservative perceptual sensitivity,eight_class,Single 8-class CNN,10900,0.9905504587155963,0.9885534487671283,0.9922018109204299,0.9740263997773021,0.9904209311197397,training_logs/experiments_perceptual_regularized/eight_class/20260513_170749/test/metrics.json
