dhash,path,split,domain,eight_class,split_set
0c172b3333331608,data/alzheimers/MildDemented/002cb9c1-b160-4c76-b7e4-5fb2f1b527f7.jpg,test,dementia,dementia_MildDemented,"test,val"
0c172b3333331608,data/alzheimers/MildDemented/84f6c8c7-80c3-4458-b142-769245dab4a9.jpg,test,dementia,dementia_MildDemented,"test,val"
0c172b3333331608,data/alzheimers/ModerateDemented/3523d8ab-beb4-4e7d-bc94-ea773ac98672.jpg,val,dementia,dementia_ModerateDemented,"test,val"
0c16172b2b17160c,data/alzheimers/MildDemented/013c7086-9972-4193-8544-31c9fbb49072.jpg,test,dementia,dementia_MildDemented,"test,val"
0c16172b2b17160c,data/alzheimers/MildDemented/06b13257-4ec2-4eef-a281-c52366e56712.jpg,test,dementia,dementia_MildDemented,"test,val"
0c16172b2b17160c,data/alzheimers/MildDemented/30b46873-e074-4bc6-aa16-6fba24cbc180.jpg,test,dementia,dementia_MildDemented,"test,val"
0c16172b2b17160c,data/alzheimers/MildDemented/f23f5dae-b5e2-4da0-a7a6-2417ddf27f76.jpg,test,dementia,dementia_MildDemented,"test,val"
0c16172b2b17160c,data/alzheimers/MildDemented/32 (22).jpg,val,dementia,dementia_MildDemented,"test,val"
8c172b2b1333169c,data/alzheimers/MildDemented/018bbc21-7957-4714-9466-9f96430249c7.jpg,test,dementia,dementia_MildDemented,"test,train"
8c172b2b1333169c,data/alzheimers/MildDemented/698ec94c-be95-4939-bb6a-790c652a0559.jpg,train,dementia,dementia_MildDemented,"test,train"
0c1737333333170c,data/alzheimers/MildDemented/01a03d9c-e53b-4ee8-b9e7-9ff29c9cf9df.jpg,test,dementia,dementia_MildDemented,"test,train,val"
0c1737333333170c,data/alzheimers/MildDemented/mildDem623.jpg,test,dementia,dementia_MildDemented,"test,train,val"
0c1737333333170c,data/alzheimers/NonDemented/7c7b9dce-953a-4306-95f0-75c45936cd81.jpg,test,dementia,dementia_NonDemented,"test,train,val"
0c1737333333170c,data/alzheimers/NonDemented/nonDem2521.jpg,test,dementia,dementia_NonDemented,"test,train,val"
0c1737333333170c,data/alzheimers/VeryMildDemented/27 (48).jpg,test,dementia,dementia_VeryMildDemented,"test,train,val"
0c1737333333170c,data/alzheimers/VeryMildDemented/27 (7).jpg,test,dementia,dementia_VeryMildDemented,"test,train,val"
0c1737333333170c,data/alzheimers/VeryMildDemented/28 (48).jpg,test,dementia,dementia_VeryMildDemented,"test,train,val"
0c1737333333170c,data/alzheimers/VeryMildDemented/73d9cace-1b51-48cc-9465-37c77832f5f1.jpg,test,dementia,dementia_VeryMildDemented,"test,train,val"
0c1737333333170c,data/alzheimers/MildDemented/8de1ca7b-9cb3-46f4-af25-41aadf028562.jpg,train,dementia,dementia_MildDemented,"test,train,val"
0c1737333333170c,data/alzheimers/MildDemented/mildDem651.jpg,train,dementia,dementia_MildDemented,"test,train,val"
0c1737333333170c,data/alzheimers/NonDemented/005a5af0-a80c-4980-bcea-650e68ed9789.jpg,train,dementia,dementia_NonDemented,"test,train,val"
0c1737333333170c,data/alzheimers/NonDemented/27 (15).jpg,train,dementia,dementia_NonDemented,"test,train,val"
