sha256,path,split,domain,eight_class,split_set
274db9ff91b7644245b9418a0cdece2b6b9cef7ee4fa71cdfaf4bff29826c90c,data/alzheimers/MildDemented/013c7086-9972-4193-8544-31c9fbb49072.jpg,test,dementia,dementia_MildDemented,"test,train"
274db9ff91b7644245b9418a0cdece2b6b9cef7ee4fa71cdfaf4bff29826c90c,data/alzheimers/MildDemented/30b46873-e074-4bc6-aa16-6fba24cbc180.jpg,test,dementia,dementia_MildDemented,"test,train"
274db9ff91b7644245b9418a0cdece2b6b9cef7ee4fa71cdfaf4bff29826c90c,data/alzheimers/MildDemented/f23f5dae-b5e2-4da0-a7a6-2417ddf27f76.jpg,test,dementia,dementia_MildDemented,"test,train"
274db9ff91b7644245b9418a0cdece2b6b9cef7ee4fa71cdfaf4bff29826c90c,data/alzheimers/MildDemented/06b13257-4ec2-4eef-a281-c52366e56712.jpg,train,dementia,dementia_MildDemented,"test,train"
728e35d137031ee37965e2b4a138fc1b579e38d91caba8be8b060bdf13b8979c,data/alzheimers/MildDemented/0f12004f-775a-4a97-9798-ea4797c2589d.jpg,test,dementia,dementia_MildDemented,"test,train"
728e35d137031ee37965e2b4a138fc1b579e38d91caba8be8b060bdf13b8979c,data/alzheimers/MildDemented/a4c04b3d-33d1-4cd7-8eb1-c601bf4116d2.jpg,train,dementia,dementia_MildDemented,"test,train"
23582987fbd8214c0925ba2a149345542f1b069427cfcee9bd4daada4a46bd50,data/alzheimers/MildDemented/1273fe93-1a50-4fd3-86ec-3c0feb1c184b.jpg,test,dementia,dementia_MildDemented,"test,train"
23582987fbd8214c0925ba2a149345542f1b069427cfcee9bd4daada4a46bd50,data/alzheimers/MildDemented/0812d816-2285-4baa-a04b-93c493919593.jpg,train,dementia,dementia_MildDemented,"test,train"
bd783109478763c55e755053051fd3e1dc0f380203ed7d08d5c158891bb32495,data/alzheimers/MildDemented/130ca9ac-2da6-47ef-bc07-59af106a48ed.jpg,test,dementia,dementia_MildDemented,"test,train"
bd783109478763c55e755053051fd3e1dc0f380203ed7d08d5c158891bb32495,data/alzheimers/MildDemented/d2b107a0-a53e-4085-b182-6eb09a993708.jpg,train,dementia,dementia_MildDemented,"test,train"
bd783109478763c55e755053051fd3e1dc0f380203ed7d08d5c158891bb32495,data/alzheimers/MildDemented/e765be7a-34e3-47bb-9ab4-c36e83f9616f.jpg,train,dementia,dementia_MildDemented,"test,train"
7c9f68078fe1e361d27c3a447fc98e06a79c36c466962bf8af73411185c39032,data/alzheimers/MildDemented/164bb7d8-5618-4475-ae8d-05265450603c.jpg,test,dementia,dementia_MildDemented,"test,train"
7c9f68078fe1e361d27c3a447fc98e06a79c36c466962bf8af73411185c39032,data/alzheimers/MildDemented/51487c01-963f-4b8f-8340-dce2c979a313.jpg,train,dementia,dementia_MildDemented,"test,train"
c8ee405d7015538e49b27b487d5adf8b3459d5ff9eb0ca08d4cae03040835db1,data/alzheimers/MildDemented/20b5cbc3-f6dc-408d-a2c9-3870fd30e56d.jpg,test,dementia,dementia_MildDemented,"test,train"
c8ee405d7015538e49b27b487d5adf8b3459d5ff9eb0ca08d4cae03040835db1,data/alzheimers/MildDemented/e063db73-004e-459d-a7ac-593661a611be.jpg,train,dementia,dementia_MildDemented,"test,train"
168b82867e96cff50ae5498397b6e14ce09d0a744ec7216e39c929c47d0f699f,data/alzheimers/MildDemented/21bd8611-1d89-47d3-a251-676ee4fb366c.jpg,test,dementia,dementia_MildDemented,"test,train"
168b82867e96cff50ae5498397b6e14ce09d0a744ec7216e39c929c47d0f699f,data/alzheimers/MildDemented/e9f072c1-d501-4b00-b803-24ff0ad0e814.jpg,train,dementia,dementia_MildDemented,"test,train"
5bdccbf6ad1a96b3740c3c6331a853af1cfdc563d2f7fb6306d326ae0c290d4a,data/alzheimers/MildDemented/2b568cb2-85b0-4c2d-a2f7-ff895eb6627d.jpg,test,dementia,dementia_MildDemented,"test,val"
5bdccbf6ad1a96b3740c3c6331a853af1cfdc563d2f7fb6306d326ae0c290d4a,data/alzheimers/MildDemented/e9f197a2-4549-48ec-a073-c2394fd8caeb.jpg,val,dementia,dementia_MildDemented,"test,val"
9965e621c506866731ee8a03d9e56302b627b6e126c4fc8b3c64b90f84801be7,data/alzheimers/MildDemented/2d9adebb-76f9-4802-b185-2aab23b5f7f1.jpg,test,dementia,dementia_MildDemented,"test,train"
9965e621c506866731ee8a03d9e56302b627b6e126c4fc8b3c64b90f84801be7,data/alzheimers/MildDemented/3f119133-623c-4a2c-814a-f30254267c83.jpg,train,dementia,dementia_MildDemented,"test,train"
8eca345a4daa81b8119203865fdd4268170d4901d497724be5655ece2020f94f,data/alzheimers/MildDemented/310246e3-5d63-401a-9e9e-1b1a4cb314dd.jpg,test,dementia,dementia_MildDemented,"test,train"
8eca345a4daa81b8119203865fdd4268170d4901d497724be5655ece2020f94f,data/alzheimers/MildDemented/12e88bf4-0793-4c1a-acd0-d57afd46b1d0.jpg,train,dementia,dementia_MildDemented,"test,train"
8eca345a4daa81b8119203865fdd4268170d4901d497724be5655ece2020f94f,data/alzheimers/MildDemented/8411f6d2-ec91-44ed-985b-0d0dbad8868d.jpg,train,dementia,dementia_MildDemented,"test,train"
62f3a6f33375f9cf8cf64bcbf4d2fdc49d6830104cc4b5628bd79fcd3701009d,data/alzheimers/MildDemented/35adee01-cbfd-4ed8-a414-96765aa0ce01.jpg,test,dementia,dementia_MildDemented,"test,train"
62f3a6f33375f9cf8cf64bcbf4d2fdc49d6830104cc4b5628bd79fcd3701009d,data/alzheimers/MildDemented/44397b60-6ebb-4e7e-b55a-96d744076086.jpg,train,dementia,dementia_MildDemented,"test,train"
ed019b6d2cafc13b0d464e9bb2911d140dd4420a40b150c76f943621516ce762,data/alzheimers/MildDemented/49524aaa-f834-4ab8-bc32-b8391d593bec.jpg,test,dementia,dementia_MildDemented,"test,train"
