bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,0,,,
4,0.4,0.5,5,0.8,0.4654437304488468,0.33455626955115325
5,0.5,0.6000000000000001,7,0.7142857142857143,0.5485180185955315,0.1657676956901828
6,0.6000000000000001,0.7000000000000001,14,0.7857142857142857,0.6639678549020366,0.12174643081224912
7,0.7000000000000001,0.8,20,1.0,0.7553778459518237,0.24462215404817633
8,0.8,0.9,88,0.9886363636363636,0.8705874836834986,0.11804887995286506
9,0.9,1.0,8672,0.9998846863468634,0.9629776747313538,0.03690701161550969
