bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,6,0.16666666666666666,0.3854016582747821,0.21873499160811546
4,0.4,0.5,4,0.75,0.43841374051027304,0.31158625948972696
5,0.5,0.6000000000000001,7,0.5714285714285714,0.5400641798003256,0.03136439162824578
6,0.6000000000000001,0.7000000000000001,19,1.0,0.6632513464693449,0.3367486535306551
7,0.7000000000000001,0.8,107,0.9532710280373832,0.7743796951695493,0.17889133286783387
8,0.8,0.9,8699,0.9995401770318427,0.8499174694430582,0.1496227075887845
9,0.9,1.0,1409,0.9921930447125621,0.9706836154091872,0.02150942930337485
