bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,3,0.6666666666666666,0.3898105794720112,0.27685608719465543
4,0.4,0.5,13,0.6923076923076923,0.44708823938284603,0.24521945292484626
5,0.5,0.6000000000000001,28,0.8214285714285714,0.5599998069249356,0.26142876450363584
6,0.6000000000000001,0.7000000000000001,48,0.8958333333333334,0.6518661232007156,0.2439672101326178
7,0.7000000000000001,0.8,253,0.9881422924901185,0.7759378882818241,0.21220440420829445
8,0.8,0.9,8606,0.9987218219846619,0.8315316889890221,0.16719013299563978
9,0.9,1.0,1300,0.9930769230769231,0.9559037643254452,0.037173158751477864
