bin,low,high,count,accuracy,confidence,gap
0,0.0,0.1,0,,,
1,0.1,0.2,0,,,
2,0.2,0.30000000000000004,0,,,
3,0.30000000000000004,0.4,0,,,
4,0.4,0.5,5,0.6,0.4422739335799353,0.1577260664200647
5,0.5,0.6000000000000001,14,0.8571428571428571,0.5551628173306693,0.3019800398121878
6,0.6000000000000001,0.7000000000000001,24,0.7916666666666666,0.6514053158307102,0.14026135083595648
7,0.7000000000000001,0.8,12,1.0,0.7575591911546128,0.2424408088453872
8,0.8,0.9,80,0.8625,0.8615979660832697,0.0009020339167303826
9,0.9,1.0,1310,0.9923664122137404,0.9599773234815453,0.03238908873219515
